Name,Club,Nation,League,Rating,Main_Position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,BodyType,Popularity,Base_Stats,Ingame_Stats
Marcelo Brozovic,Croatia,Croatia,World Cup,86,CDM,CM,World Cup Player,Controlled,0.0,0,3,4,M,M,69.0,74,81,81,81,78,"181cm | 5'11""",Lean  (68kg),3,464,2259
Christopher Nkunku,France,France,World Cup,86,CF,"CAM,ST",World Cup Player,Explosive,0.0,0,5,3,H,M,88.0,81,83,88,65,66,"175cm | 5'9""",Average  (73kg),53,471,2234
Sergej Milinkovic-Savic,Serbia,Serbia,World Cup,86,CM,0,World Cup Player,Lengthy,0.0,4,0,5,H,M,68.0,80,82,82,79,86,"191cm | 6'3""",High & Average  (76kg),0,477,2287
Thiago Silva,Brazil,Brazil,World Cup,86,CB,0,World Cup Player,Controlled,0.0,2,0,3,M,H,49.0,54,73,72,87,76,"183cm | 6'0""",Average  (79kg),15,411,2053
Bruno Fernandes,Portugal,Portugal,World Cup,86,CAM,CM,World Cup Player,Controlled,0.0,0,4,3,H,H,72.0,86,88,81,67,76,"179cm | 5'10""",Unique  (69kg),-7,470,2321
Édouard Mendy,Senegal,Senegal,World Cup,86,GK,0,World Cup Player,Controlled,0.0,1,0,2,M,M,84.0,82,81,88,34,85,"197cm | 6'6""",High & Average+  (86kg),2,454,863
Dries Mertens,Galatasaray,Belgium,Süper Lig (TUR 1),86,CF,"CAM,ST",Road to World Cup,Explosive,14250.0,1.72%,4,4,H,L,87.0,85,83,90,36,56,"169cm | 5'7""",Unique  (61kg),512,437,2129
Matheus Nunes,Wolves,Portugal,Premier League,86,CM,0,Road to World Cup,Controlled,11500.0,6.98%,3,3,H,M,86.0,77,81,89,82,83,"183cm | 6'0""",Average  (76kg),1349,498,2315
Toko Ekambi,OL,Cameroon,Ligue 1,86,LM,LW,Road to World Cup,Controlled,0.0,0,3,4,H,L,90.0,86,82,85,31,75,"185cm | 6'1""",High & Average+  (74kg),378,449,2162
Aleksandar Mitrovic,Fulham,Serbia,Premier League,86,ST,CF,Road to World Cup,Lengthy,21000.0,6.98%,3,4,H,M,82.0,87,65,81,33,93,"189cm | 6'2""",High & Stocky  (90kg),241,441,2096
Leandro Trossard,Brighton,Belgium,Premier League,86,LM,"CAM,ST,LW",World Cup Showdown S,Explosive,57050.0,6.98%,4,4,H,M,89.0,86,85,88,38,71,"171cm | 5'7""",Average  (67kg),567,457,2231
Mateo Kovacic,Chelsea,Croatia,Premier League,86,CM,0,World Cup Showdown S,Explosive,56050.0,6.98%,4,4,H,H,80.0,78,85,90,78,78,"176cm | 5'9""",Average  (80kg),-270,489,2351
Brenden Aaronson,Leeds United,United States,Premier League,86,CAM,CM,World Cup Showdown S,Explosive,51750.0,6.98%,4,3,H,H,93.0,80,82,90,65,75,"176cm | 5'9""",Lean  (66kg),830,485,2320
Timothy Weah,LOSC,United States,Ligue 1,86,RM,"LM,RW,ST",WC Stories Obj,Controlled,0.0,0,4,3,H,M,92.0,82,81,86,56,75,"185cm | 6'1""",High & Average+  (66kg),999,472,2234
Adrien Rabiot,Juventus,France,Serie A TIM,86,CM,0,World Cup Stories,Controlled,12500.0,16.28%,3,3,M,M,83.0,80,83,87,82,85,"192cm | 6'4""",High & Average+  (80kg),1793,500,2361
Simon Kjær,Milan,Denmark,Serie A TIM,86,CB,0,World Cup Stories,Lengthy,11500.0,16.28%,2,3,L,H,80.0,58,68,64,88,83,"190cm | 6'3""",High & Average  (86kg),856,441,2036
Danny Ward,Leicester City,Wales,Premier League,86,GK,0,ShowDown SBC,Controlled,28300.0,1,0,3,M,M,87.0,86,80,87,56,86,"191cm | 6'3""",High & Average  (88kg),-562,482,900
Justin Kluivert,Valencia CF,Netherlands,LaLiga Santander,86,LW,"RM,LM",Winter Wildcards,Explosive,11750.0,9.30%,4,4,H,M,92.0,82,81,89,45,74,"172cm | 5'8""",Average  (66kg),414,463,2182
Alexandre Pato,Orlando City,Brazil,Major League Soccer,86,ST,"RM,LM,CF",Winter Wildcards,Controlled,12500.0,9.30%,5,4,M,L,87.0,85,78,85,40,73,"175cm | 5'9""",Average  (72kg),618,448,2176
Lukas Klostermann,RB Leipzig,Germany,Bundesliga,86,CB,RWB,Winter Wildcards,Controlled,15000.0,3.23%,5,3,M,M,87.0,53,72,74,87,84,"189cm | 6'2""",High & Average  (88kg),773,457,2075
Jeremy Toljan,Sassuolo,Germany,Serie A TIM,86,RB,RWB,Winter Wildcards,Controlled,10750.0,10.42%,3,4,M,M,91.0,51,75,79,85,83,"182cm | 6'0""",Lean  (74kg),561,464,2147
João Félix,Chelsea,Portugal,Premier League,86,CF,ST,WC History Makers,Controlled,0.0,0,5,4,M,M,85.0,82,83,90,42,69,"181cm | 5'11""",Unique  (70kg),-11,451,2188
Federico Valverde,Real Madrid,Uruguay,LaLiga Santander,86,CM,0,WC History Makers,Controlled,0.0,3,0,4,H,H,89.0,76,81,81,80,82,"182cm | 6'0""",Unique  (78kg),-33,489,2283
Jude Bellingham,Dortmund,England,Bundesliga,86,CM,LM,WC History Makers,Controlled,0.0,0,4,4,H,H,77.0,77,80,86,79,82,"186cm | 6'1""",High & Average+  (75kg),-129,481,2271
Kai Havertz,Chelsea,Germany,Premier League,86,CAM,"CF,ST",WC History Makers,Controlled,0.0,0,4,4,M,M,83.0,81,81,86,47,68,"189cm | 6'2""",Unique  (82kg),-185,446,2137
Mesut Özil,Başakşehir,Germany,Süper Lig (TUR 1),86,CAM,RM,Winter Wildcards SBC,Explosive,40900.0,10.42%,5,5,M,L,80.0,82,90,86,30,60,"180cm | 5'11""",Unique  (70kg),929,428,2100
Séamus Coleman,Everton,Republic of Ireland,Premier League,86,RB,RWB,FUT Centurions,Controlled,11750.0,4.44%,3,3,H,H,87.0,72,84,87,88,84,"177cm | 5'10""",Average  (77kg),207,502,2389
Divock Origi,Milan,Belgium,Serie A TIM,86,ST,"CF,LW",ShowDown SBC,Controlled,50050.0,4.44%,5,4,H,M,91.0,86,78,86,37,84,"189cm | 6'2""",High & Average+  (88kg),4714,462,2172
Krépin Diatta,AS Monaco,Senegal,Ligue 1,86,RM,"LM,RW",IF,Explosive,10750.0,12.24%,4,4,H,M,96.0,83,81,88,60,80,"175cm | 5'9""",Lean  (69kg),449,488,2325
Joselu,RCD Espanyol,Spain,LaLiga Santander,86,ST,CF,SIF,Lengthy,10750.0,2.27%,3,3,H,M,70.0,87,76,82,38,81,"192cm | 6'4""",High & Average+  (80kg),50,434,2091
Luis Alberto,SS Lazio,Spain,Serie A TIM,86,CM,0,IF,Controlled,10750.0,2.27%,4,3,M,M,59.0,80,89,86,60,60,"183cm | 6'0""",Lean  (74kg),-37,434,2119
Nick Olij,Sparta Rotterdam,Netherlands,Eredivisie,86,GK,0,Eredivisie POTM SBC,Controlled,27350.0,2.27%,1,2,M,M,86.0,85,80,88,63,82,"188cm | 6'2""",High & Average  (74kg),455,484,887
Jesper Lindstrøm,Frankfurt,Denmark,Bundesliga,86,LM,"CAM,LW",FUT Future Stars,Controlled,0.0,0,3,3,H,M,92.0,82,81,86,60,75,"182cm | 6'0""",Lean  (66kg),-59,476,2231
Wilfried Singo,Torino,Côte d'Ivoire,Serie A TIM,86,RWB,"RB,RM",FUT Future Stars,Controlled,10750.0,2.27%,3,3,M,H,90.0,65,77,86,83,85,"190cm | 6'3""",High & Stocky  (79kg),574,486,2241
Djed Spence,Rennes,England,Ligue 1,86,RWB,RB,FUT Future Stars,Controlled,10750.0,2.27%,3,3,H,H,92.0,50,75,86,85,83,"184cm | 6'0""",Lean  (71kg),796,471,2125
Anthony Gordon,Newcastle Utd,England,Premier League,86,RW,"RM,LW",FUT Future Stars,Controlled,0.0,0,3,3,H,M,89.0,84,84,86,45,72,"183cm | 6'0""",Lean  (74kg),-188,460,2183
Jean-Eudes Aholou,Strasbourg,Côte d'Ivoire,Ligue 1,86,CDM,CM,IF,Lengthy,10750.0,2.27%,3,3,M,M,77.0,72,80,81,85,88,"186cm | 6'1""",High & Average  (71kg),94,483,2258
Adrien Rabiot,Juventus,France,Serie A TIM,86,CM,LM,SIF,Controlled,10750.0,10.42%,3,3,M,M,82.0,81,84,86,83,85,"192cm | 6'4""",High & Average+  (80kg),265,501,2359
Luis Díaz,Liverpool,Colombia,Premier League,86,LW,LM,FUT Ballers SBC,Controlled,16600.0,10.42%,4,4,H,M,92.0,83,80,88,35,79,"180cm | 5'11""",Lean  (73kg),744,457,2153
Dejan Kulusevski,Spurs,Sweden,Premier League,86,RW,"RM,CF",FUT Ballers SBC,Controlled,22050.0,10.42%,4,3,H,M,84.0,83,84,88,61,81,"186cm | 6'1""",High & Average  (75kg),-13,481,2275
Oxlade-Chamberlain,Liverpool,England,Premier League,86,CM,0,FUT Ballers,Explosive,0.0,4,0,4,H,H,85.0,83,84,95,76,83,"175cm | 5'9""",Average  (70kg),552,506,2411
Thiago Almada,Atlanta United,Argentina,Major League Soccer,86,CAM,"RW,LW",IF,Explosive,10750.0,6.52%,4,4,H,L,90.0,82,81,91,61,72,"171cm | 5'7""",Average  (62kg),190,477,2297
Yeray,Athletic Club,Spain,LaLiga Santander,86,CB,0,FUT Birthday,Controlled,10750.0,6.52%,5,3,M,M,80.0,55,70,81,88,85,"182cm | 6'0""",Average  (79kg),-175,459,2181
Djibril Sow,Frankfurt,Switzerland,Bundesliga,86,CM,CDM,FUT Birthday,Controlled,10750.0,6.52%,3,5,M,H,87.0,76,83,85,84,86,"184cm | 6'0""",Lean  (76kg),181,501,2358
Jesse Lingard,Nott'm Forest,England,Premier League,86,RW,"RM,CAM",FUT Birthday,Explosive,0.0,0,4,5,H,M,88.0,85,84,88,61,72,"175cm | 5'9""",Lean  (60kg),909,478,2311
Rade Krunic,Milan,Bosnia and Herzegovina,Serie A TIM,86,CM,CAM,IF,Controlled,10750.0,2.27%,3,3,H,H,79.0,84,86,87,82,82,"184cm | 6'0""",Average  (74kg),149,500,2396
Ashley Cole,FUT ICONS,England,Icons,85,LB,LWB,Icon,Explosive,64500.0,1.53%,3,2,H,M,91.0,65,78,80,83,71,"176cm | 5'9""",Average  (64kg),537,468,2243
Clarence Seedorf,FUT ICONS,Netherlands,Icons,85,CM,"CDM,RM",Icon,Controlled,69500.0,3.47%,4,4,H,H,83.0,81,84,84,71,83,"176cm | 5'9""",Stocky  (76kg),1493,486,2323
Claude Makélélé,FUT ICONS,France,Icons,85,RM,"CDM,CM,RW",Icon,Controlled,68000.0,1.49%,3,3,M,M,86.0,64,80,82,70,80,"174cm | 5'9""",Average  (70kg),441,462,2131
Davor Šuker,FUT ICONS,Croatia,Icons,85,ST,CF,Icon,Controlled,100000.0,0,4,4,H,L,86.0,88,78,87,40,73,"183cm | 6'0""",Lean  (77kg),628,452,2205
Emmanuel Petit,FUT ICONS,France,Icons,85,LB,"CB,LWB,CDM",Icon,Controlled,68500.0,1.49%,3,3,H,H,80.0,73,80,78,86,83,"185cm | 6'1""",High & Average  (77kg),597,480,2292
Fernando Torres,FUT ICONS,Spain,Icons,85,ST,CF,Icon,Controlled,69500.0,1.49%,4,4,M,M,87.0,83,71,85,41,75,"186cm | 6'1""",High & Average  (79kg),733,442,2133
Gennaro Gattuso,FUT ICONS,Italy,Icons,85,CM,"CDM,RM",Icon,Lengthy,120000.0,0,2,3,M,H,73.0,66,76,74,90,88,"177cm | 5'10""",Stocky  (78kg),564,467,2190
Gheorghe Hagi,FUT ICONS,Romania,Icons,85,CAM,0,Icon,Explosive,69500.0,6.92%,4,4,M,L,86.0,84,85,87,37,63,"172cm | 5'8""",Average  (66kg),580,442,2167
Gianfranco Zola,FUT ICONS,Italy,Icons,85,CF,ST,Icon,Explosive,100000.0,9.09%,4,4,H,M,90.0,85,82,91,41,63,"168cm | 5'6""",Short & Lean-  (65kg),1852,452,2166
Hernán Crespo,FUT ICONS,Argentina,Icons,85,ST,CF,Icon,Controlled,0.0,0,4,4,M,M,86.0,86,70,84,37,70,"184cm | 6'0""",Lean  (76kg),434,433,2097
Iago Aspas,RC Celta,Spain,LaLiga Santander,85,ST,CF,Normal,Explosive,4600.0,31.43%,3,4,H,H,82.0,85,79,86,35,63,"176cm | 5'9""",Lean  (67kg),121,430,2092
Gerard Moreno,Villarreal CF,Spain,LaLiga Santander,85,ST,CF,Normal,Controlled,4500.0,28.57%,3,4,H,M,78.0,86,77,83,46,72,"180cm | 5'11""",Average  (77kg),47,442,2133
Jordi Alba Ramos,FC Barcelona,Spain,LaLiga Santander,85,LB,LWB,Normal,Explosive,4900.0,32.43%,3,3,H,M,84.0,70,82,82,77,70,"170cm | 5'7""",Unique  (68kg),334,465,2238
Péter Gulácsi,RB Leipzig,Hungary,Bundesliga,85,GK,0,Normal,Controlled,3900.0,8.33%,1,2,M,M,85.0,84,76,85,43,83,"191cm | 6'3""",High & Average  (86kg),83,456,937
Matthijs de Ligt,FC Bayern,Netherlands,Bundesliga,85,CB,0,Normal,Lengthy,12750.0,22.73%,2,3,M,H,75.0,59,61,69,84,87,"189cm | 6'2""",Unique  (89kg),334,435,2008
Yann Sommer,M'gladbach,Switzerland,Bundesliga,85,GK,0,Normal,Controlled,16750.0,78.19%,1,4,M,M,78.0,81,82,90,50,86,"183cm | 6'0""",Average  (79kg),73,467,996
Niklas Süle,Dortmund,Germany,Bundesliga,85,CB,RB,Normal,Lengthy,3800.0,5.00%,3,3,M,M,71.0,48,66,59,85,83,"195cm | 6'5""",High & Stocky  (99kg),31,412,1863
Patrik Schick,Leverkusen,Czech Republic,Bundesliga,85,ST,CF,Normal,Controlled,3700.0,8.82%,4,3,H,M,78.0,83,71,83,36,76,"191cm | 6'3""",High & Average  (85kg),96,427,2026
Marco Reus,Dortmund,Germany,Bundesliga,85,CAM,"RM,CF",Rare,Explosive,4000.0,17.65%,4,4,H,M,70.0,84,84,85,53,65,"180cm | 5'11""",Unique  (71kg),281,441,2179
Serge Gnabry,FC Bayern,Germany,Bundesliga,85,RM,RW,Normal,Explosive,4200.0,16.67%,4,4,H,M,82.0,84,79,85,43,69,"176cm | 5'9""",Unique  (77kg),151,442,2090
Alex Telles,Sevilla FC,Brazil,LaLiga Santander,85,LB,LWB,Player Moments SBC,Controlled,124100.0,0,3,2,H,L,88.0,80,86,82,82,78,"181cm | 5'11""",Unique  (71kg),1215,496,2419
Javier Hernández,LA Galaxy,Mexico,Major League Soccer,85,ST,CF,Rulebreakers,Controlled,20500.0,18.00%,3,3,M,L,87.0,86,74,73,38,75,"175cm | 5'9""",Average  (73kg),-416,433,2087
Ivan Toney,Brentford,England,Premier League,85,ST,CF,Rulebreakers,Controlled,12250.0,18.00%,3,4,H,H,88.0,86,80,81,60,80,"187cm | 6'2""",High & Average  (76kg),1026,475,2302
Maxence Lacroix,VfL Wolfsburg,France,Bundesliga,85,CB,0,Rulebreakers,Lengthy,10750.0,18.00%,2,2,M,H,83.0,36,70,69,85,84,"190cm | 6'3""",High & Average  (88kg),530,427,1923
Dodô,Fiorentina,Brazil,Serie A TIM,85,RB,RWB,Rulebreakers SBC,Controlled,60900.0,18.00%,3,3,H,M,90.0,68,80,74,85,81,"166cm | 5'5""",Short and Balanced   (68kg),429,478,2234
Marko Arnautovic,Bologna,Austria,Serie A TIM,85,ST,CF,Dynamic Duos,Lengthy,18550.0,18.00%,4,4,M,L,83.0,86,82,82,47,85,"192cm | 6'4""",High & Average  (83kg),1877,465,2233
Stefan Posch,Bologna,Austria,Serie A TIM,85,CB,RB,Dynamic Duos,Lengthy,18600.0,18.00%,2,3,M,M,83.0,40,60,55,85,83,"189cm | 6'2""",High & Average+  (82kg),2010,406,1876
David Raum,RB Leipzig,Germany,Bundesliga,85,LWB,"LB,LM",Rulebreakers SBC,Controlled,28450.0,18.00%,3,2,H,M,90.0,62,80,85,84,75,"180cm | 5'11""",Average  (75kg),2231,476,2220
Antoine Griezmann,Atlético de Madrid,France,LaLiga Santander,85,ST,"CF,RW",IF,Explosive,10750.0,18.00%,4,3,M,M,83.0,84,85,87,54,75,"176cm | 5'9""",Unique  (73kg),721,468,2326
Ousmane Dembélé,FC Barcelona,France,LaLiga Santander,85,RW,RM,IF,Explosive,13000.0,18.00%,5,5,H,M,94.0,80,82,89,38,59,"178cm | 5'10""",Unique  (67kg),3600,442,2105
Kieffer Moore,AFC Bournemouth,Wales,Premier League,85,ST,CF,World Cup Star SBC,Lengthy,0.0,0,3,3,H,M,85.0,84,78,83,51,87,"196cm | 6'5""",High & Average  (83kg),93,468,2229
Takuma Asano,VfL Bochum,Japan,Bundesliga,85,RW,"RM,CAM,CF",World Cup Star SBC,Explosive,0.0,0,3,4,H,M,91.0,82,81,84,37,76,"173cm | 5'8""",Average  (71kg),205,451,2134
Bartosz Bereszynski,Sampdoria,Poland,Serie A TIM,85,RB,RWB,World Cup Star SBC,Controlled,2450.0,0,3,4,H,M,90.0,65,76,80,80,83,"183cm | 6'0""",Average  (77kg),427,474,2224
Munir,Getafe CF,Morocco,LaLiga Santander,85,LW,"LM,RW,ST",World Cup Star SBC,Controlled,0.0,0,4,3,H,L,90.0,84,83,86,39,76,"175cm | 5'9""",Lean  (69kg),67,458,2191
Bryan Oviedo,Real Salt Lake,Costa Rica,Major League Soccer,85,LB,LWB,World Cup PTG,Controlled,15500.0,3.33%,3,3,H,M,86.0,72,80,83,80,83,"172cm | 5'8""",Average  (70kg),54,484,2323
Gonzalo Plata,R. Valladolid CF,Ecuador,LaLiga Santander,85,RM,RW,World Cup PTG,Controlled,17250.0,6.15%,4,3,H,L,94.0,80,81,87,47,76,"178cm | 5'10""",Average  (65kg),344,465,2171
Gerard Moreno,Spain,Spain,World Cup,85,ST,CF,World Cup Player,Controlled,0.0,0,3,4,H,M,78.0,86,77,83,46,72,"180cm | 5'11""",Average  (77kg),5,442,2133
Niklas Süle,Germany,Germany,World Cup,85,CB,RB,World Cup Player,Lengthy,0.0,0,3,3,M,M,71.0,48,66,59,85,83,"195cm | 6'5""",High & Stocky  (99kg),-5,412,1863
Kyle Walker,England,England,World Cup,85,RB,RWB,World Cup Player,Lengthy,0.0,0,3,2,H,H,91.0,63,77,78,80,82,"183cm | 6'0""",Unique  (83kg),37,471,2214
Sergio Busquets,Spain,Spain,World Cup,85,CDM,0,World Cup Player,Controlled,0.0,3,0,3,M,M,42.0,62,79,79,82,73,"189cm | 6'2""",High & Average+  (76kg),7,417,2044
Ellyes Skhiri,1. FC Köln,Tunisia,Bundesliga,85,CDM,CM,World Cup PTG,Controlled,21250.0,0,3,3,M,H,75.0,78,77,81,86,81,"185cm | 6'1""",High & Average+  (74kg),146,478,2272
Salem Al Dawsari,Al Hilal,Saudi Arabia,MBS Pro League (SAU 1),85,LW,"LM,RW",World Cup PTG,Controlled,0.0,0,4,5,H,H,91.0,80,77,88,60,86,"173cm | 5'8""",Stocky  (71kg),1114,482,2244
Ethan Ampadu,La Spezia,Wales,Serie A TIM,85,CDM,"CB,CM",Dynamic Duos,Controlled,29200.0,0,2,3,M,H,77.0,61,75,81,85,83,"183cm | 6'0""",Lean  (78kg),-707,462,2166
Harry Wilson,Fulham,Wales,Premier League,85,RM,"CAM,RW",Dynamic Duos,Explosive,29150.0,0,3,4,H,L,87.0,86,84,85,55,68,"173cm | 5'8""",Average  (70kg),-664,465,2251
Jesús Corona,Sevilla FC,Mexico,LaLiga Santander,85,RW,"RM,LW",Road to World Cup,Explosive,15500.0,29.17%,5,5,M,M,86.0,80,83,90,74,71,"173cm | 5'8""",Average  (66kg),1064,484,2376
Giménez,Atlético de Madrid,Uruguay,LaLiga Santander,85,CB,0,World Cup Showdown S,Lengthy,48050.0,29.17%,2,3,M,H,75.0,48,59,63,87,86,"185cm | 6'1""",High & Average  (80kg),-694,418,1923
Piotr Zielinski,Napoli,Poland,Serie A TIM,85,CAM,CM,Road to World Cup,Explosive,22000.0,12.00%,4,5,M,M,83.0,80,83,88,73,64,"180cm | 5'11""",Lean  (75kg),574,471,2227
Gonzalo Montiel,Sevilla FC,Argentina,LaLiga Santander,85,RB,RWB,Road to World Cup,Controlled,14250.0,14.00%,3,3,H,M,90.0,66,76,81,81,86,"175cm | 5'9""",Average  (70kg),899,480,2258
Walker Zimmerman,Nashville SC,United States,Major League Soccer,85,CB,0,Road to World Cup SB,Lengthy,11950.0,14.00%,2,3,M,H,79.0,60,65,68,84,88,"191cm | 6'3""",High & Average  (89kg),-838,444,2069
Lovro Majer,Rennes,Croatia,Ligue 1,85,CM,0,World Cup Stories,Explosive,12000.0,9.09%,4,3,H,M,82.0,84,86,88,70,72,"179cm | 5'10""",Lean  (75kg),278,482,2323
Maximilian Arnold,VfL Wolfsburg,Germany,Bundesliga,85,CDM,CM,FUT Centurions,Controlled,23000.0,39.39%,3,3,H,M,76.0,85,85,85,83,82,"184cm | 6'0""",Average  (74kg),-280,496,2391
Florian Neuhaus,M'gladbach,Germany,Bundesliga,85,CAM,CM,FUT Centurions,Controlled,10750.0,39.39%,3,4,M,M,81.0,85,85,85,71,75,"185cm | 6'1""",High & Average+  (77kg),-432,482,2266
Makoto Hasebe,Frankfurt,Japan,Bundesliga,85,CB,CDM,FUT Centurions,Controlled,10750.0,39.39%,3,3,M,M,78.0,61,81,79,86,80,"180cm | 5'11""",Lean  (72kg),-275,465,2253
Lucas Lima Linhares,NY Red Bulls,Brazil,Major League Soccer,85,LM,"CAM,CF,LW",Dynamic Duos,Explosive,20600.0,39.39%,4,4,H,M,91.0,81,82,87,47,69,"170cm | 5'7""",Short & Lean-  (60kg),-468,457,2174
Ismaël Bennacer,Milan,Algeria,Serie A TIM,85,CDM,CM,IF,Explosive,10750.0,4.44%,4,3,H,M,81.0,71,84,89,81,80,"175cm | 5'9""",Lean  (70kg),394,486,2335
Fabian Schär,Newcastle Utd,Switzerland,Premier League,85,CB,0,SIF,Lengthy,10750.0,4.44%,2,3,H,M,61.0,75,79,76,87,84,"188cm | 6'2""",High & Average  (84kg),71,462,2271
Tammy Abraham,Roma FC,England,Serie A TIM,85,ST,CF,IF,Lengthy,10750.0,4.44%,3,3,H,M,86.0,85,70,82,40,83,"195cm | 6'5""",High & Average+  (86kg),85,446,2063
Ryan Kent,Rangers,England,Scottish Premiership (SPFL),85,LW,LM,FUT Centurions,Explosive,21050.0,4.44%,4,5,H,M,96.0,80,80,83,48,69,"172cm | 5'8""",Average  (65kg),2464,456,2132
Cristhian Stuani,Girona FC,Uruguay,LaLiga Santander,85,ST,CF,FUT Centurions,Controlled,10750.0,4.44%,4,4,H,L,85.0,90,80,83,56,92,"186cm | 6'1""",High & Average  (76kg),-157,486,2345
Alexis Saelemaekers,Milan,Belgium,Serie A TIM,85,RW,RM,FUT Centurions,Explosive,12250.0,11.36%,4,4,H,H,90.0,80,85,89,68,78,"180cm | 5'11""",Lean  (72kg),334,490,2319
Phil Jones,Manchester Utd,England,Premier League,85,CB,0,Flashback SBC,Lengthy,27750.0,2,0,3,L,H,82.0,53,66,67,83,84,"185cm | 6'1""",High & Stocky  (71kg),3134,435,2009
Jonathan Burkardt,1. FSV Mainz 05,Germany,Bundesliga,85,ST,"CF,RW",FUT Future Stars,Controlled,10750.0,0,4,3,H,M,93.0,85,76,88,53,84,"181cm | 5'11""",Average  (79kg),55,479,2224
Mateus Uribe,FC Porto,Colombia,Liga NOS (POR 1),85,CM,CDM,IF,Controlled,10750.0,0,3,4,M,H,80.0,81,80,83,85,86,"183cm | 6'0""",Average  (77kg),188,495,2331
Guerreiro,Dortmund,Portugal,Bundesliga,85,LB,"LWB,LM",IF,Explosive,11000.0,10.20%,4,2,H,L,79.0,80,89,90,79,59,"170cm | 5'7""",Short & Lean-  (71kg),58,476,2309
Tuta,Frankfurt,Brazil,Bundesliga,85,CB,0,UCL Live,Controlled,10750.0,10.20%,2,2,M,M,81.0,57,76,78,87,87,"185cm | 6'1""",High & Average  (81kg),402,466,2177
Rodrygo,Real Madrid,Brazil,LaLiga Santander,85,RW,RM,CL MOTM SBC,Explosive,83550.0,10.20%,4,4,M,M,92.0,81,78,88,36,61,"174cm | 5'9""",Lean  (64kg),-8851,436,2121
Reinildo,Atlético de Madrid,Mozambique,LaLiga Santander,85,LB,"CB,LWB",SIF,Controlled,10750.0,6.52%,3,3,M,H,88.0,60,74,82,85,85,"180cm | 5'11""",Lean  (73kg),444,474,2196
Jorginho,Arsenal,Italy,Premier League,85,CM,0,Rare,Controlled,4000.0,14.29%,3,3,M,M,54.0,67,86,81,73,73,"180cm | 5'11""",Lean  (68kg),55,434,2156
Lucas Ocampos,Sevilla FC,Argentina,LaLiga Santander,85,LW,"LM,RW",MOTM,Controlled,29500.0,8.53%,4,3,H,H,85.0,86,82,86,67,87,"188cm | 6'2""",Normal,21,493,2350
Florian Wirtz,Leverkusen,Germany,Bundesliga,85,CAM,CM,MOTM,Explosive,16000.0,11.11%,4,4,H,M,82.0,78,84,89,54,63,"176cm | 5'9""",Average  (70kg),98,450,2122
Jordan Morris,Seattle Sounders,United States,Major League Soccer,85,ST,"RM,CF,LW",SIF,Controlled,10750.0,8.51%,3,2,H,M,94.0,85,84,85,53,90,"183cm | 6'0""",Stocky  (85kg),106,491,2323
Ben Chilwell,Chelsea,England,Premier League,85,LB,LWB,IF,Controlled,11250.0,2.17%,3,3,H,M,81.0,63,82,81,81,80,"180cm | 5'11""",Average  (77kg),72,468,2240
Niclas Füllkrug,Werder Bremen,Germany,Bundesliga,85,ST,CF,SIF,Lengthy,10750.0,2.17%,3,4,H,M,73.0,88,74,82,46,85,"189cm | 6'2""",High & Average  (83kg),163,448,2165
Christian Pulisic,Chelsea,United States,Premier League,85,CAM,"LM,RW",IF,Explosive,11750.0,6.82%,4,4,M,M,90.0,76,77,89,40,64,"177cm | 5'10""",Lean  (69kg),78,436,2086
Oliver Sail,Well. Phoenix,New Zealand,A-League (AUS 1),85,GK,0,SIF,Lengthy,10750.0,6.82%,1,2,M,M,90.0,85,70,87,66,85,"194cm | 6'4""",High & Average  (80kg),48,483,918
Giacomo Bonaventura,Fiorentina,Italy,Serie A TIM,85,CAM,0,SIF,Controlled,10750.0,6.82%,4,3,H,M,78.0,84,87,88,79,74,"181cm | 5'11""",Average  (75kg),61,490,2397
Toby Alderweireld,Royal Antwerp FC,Belgium,1A Pro League (BEL 1),85,CB,0,IF,Lengthy,10750.0,6.82%,2,3,M,M,60.0,58,74,71,88,80,"186cm | 6'1""",High & Average  (81kg),58,431,2101
Anthony Lopes,OL,Portugal,Ligue 1,85,GK,0,IF,Controlled,10750.0,12.24%,1,2,M,M,87.0,83,75,89,66,85,"184cm | 6'0""",Average  (81kg),15,485,1049
Nacho Fernández,Real Madrid,Spain,LaLiga Santander,85,LB,CB,IF,Lengthy,14500.0,22.67%,2,4,L,H,80.0,41,73,73,85,83,"180cm | 5'11""",Average  (76kg),53,435,2017
Leonardo Spinazzola,Roma FC,Italy,Serie A TIM,85,LM,"LB,LWB",IF,Controlled,11500.0,22.67%,4,4,H,M,94.0,67,78,83,81,74,"186cm | 6'1""",High & Average+  (75kg),115,477,2215
Ángel Di María,Juventus,Argentina,Serie A TIM,84,RW,RM,Normal,Explosive,7500.0,2.74%,5,2,H,M,79.0,79,84,87,48,67,"180cm | 5'11""",Unique  (69kg),186,444,2177
Federico Chiesa,Juventus,Italy,Serie A TIM,84,LW,LM,Normal,Explosive,3500.0,2.74%,4,4,H,M,91.0,81,76,86,48,73,"175cm | 5'9""",Average  (70kg),828,455,2117
